2025-11-17 02:51:35 status half-installed libcap-ng0:amd64 0.8.3-1+b3
2025-11-17 02:51:35 status unpacked libcap-ng0:amd64 0.8.3-1+b3
2025-11-17 02:51:35 install libcap2:amd64 <none> 1:2.66-4+deb12u2
2025-11-17 02:51:35 status half-installed libcap2:amd64 1:2.66-4+deb12u2
2025-11-17 02:51:35 status unpacked libcap2:amd64 1:2.66-4+deb12u2
2025-11-17 02:51:35 install libcom-err2:amd64 <none> 1.47.0-2+b2
2025-11-17 02:51:35 status half-installed libcom-err2:amd64 1.47.0-2+b2
2025-11-17 02:51:35 status unpacked libcom-err2:amd64 1.47.0-2+b2
2025-11-17 02:51:36 install libcrypt1:amd64 <none> 1:4.4.33-2
2025-11-17 02:51:36 status half-installed libcrypt1:amd64 1:4.4.33-2
2025-11-17 02:51:36 status unpacked libcrypt1:amd64 1:4.4.33-2
2025-11-17 02:51:36 install libdb5.3:amd64 <none> 5.3.28+dfsg2-1
2025-11-17 02:51:36 status half-installed libdb5.3:amd64 5.3.28+dfsg2-1
2025-11-17 02:51:36 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2025-11-17 02:51:36 install libdebconfclient0:amd64 <none> 0.270
2025-11-17 02:51:36 status half-installed libdebconfclient0:amd64 0.270
2025-11-17 02:51:36 status unpacked libdebconfclient0:amd64 0.270
2025-11-17 02:51:36 install libext2fs2:amd64 <none> 1.47.0-2+b2
2025-11-17 02:51:36 status half-installed libext2fs2:amd64 1.47.0-2+b2
2025-11-17 02:51:36 status unpacked libext2fs2:amd64 1.47.0-2+b2
2025-11-17 02:51:36 install libffi8:amd64 <none> 3.4.4-1
2025-11-17 02:51:36 status half-installed libffi8:amd64 3.4.4-1
2025-11-17 02:51:36 status unpacked libffi8:amd64 3.4.4-1
2025-11-17 02:51:36 install libgcc-s1:amd64 <none> 12.2.0-14+deb12u1
2025-11-17 02:51:36 status half-installed libgcc-s1:amd64 12.2.0-14+deb12u1
2025-11-17 02:51:36 status unpacked libgcc-s1:amd64 12.2.0-14+deb12u1
2025-11-17 02:51:36 install libgcrypt20:amd64 <none> 1.10.1-3
2025-11-17 02:51:36 status half-installed libgcrypt20:amd64 1.10.1-3
2025-11-17 02:51:36 status unpacked libgcrypt20:amd64 1.10.1-3
2025-11-17 02:51:37 install libgmp10:amd64 <none> 2:6.2.1+dfsg1-1.1
2025-11-17 02:51:37 status half-installed libgmp10:amd64 2:6.2.1+dfsg1-1.1
2025-11-17 02:51:37 status unpacked libgmp10:amd64 2:6.2.1+dfsg1-1.1
2025-11-17 02:51:37 install libgnutls30:amd64 <none> 3.7.9-2+deb12u5
2025-11-17 02:51:37 status half-installed libgnutls30:amd64 3.7.9-2+deb12u5
2025-11-17 02:51:37 status unpacked libgnutls30:amd64 3.7.9-2+deb12u5
2025-11-17 02:51:37 install libgpg-error0:amd64 <none> 1.46-1
2025-11-17 02:51:37 status half-installed libgpg-error0:amd64 1.46-1
2025-11-17 02:51:37 status unpacked libgpg-error0:amd64 1.46-1
2025-11-17 02:51:37 install libhogweed6:amd64 <none> 3.8.1-2
2025-11-17 02:51:37 status half-installed libhogweed6:amd64 3.8.1-2
2025-11-17 02:51:37 status unpacked libhogweed6:amd64 3.8.1-2
2025-11-17 02:51:37 install libidn2-0:amd64 <none> 2.3.3-1+b1
2025-11-17 02:51:37 status half-installed libidn2-0:amd64 2.3.3-1+b1
2025-11-17 02:51:37 status unpacked libidn2-0:amd64 2.3.3-1+b1
2025-11-17 02:51:37 install liblz4-1:amd64 <none> 1.9.4-1
2025-11-17 02:51:37 status half-installed liblz4-1:amd64 1.9.4-1
2025-11-17 02:51:37 status unpacked liblz4-1:amd64 1.9.4-1
2025-11-17 02:51:38 install liblzma5:amd64 <none> 5.4.1-1
